Country/Hexapod;Популий грыжомельский;Мелолонтий западный;Десятилиньята лепая;Аурата сетуньская;Семипунктата Коха;Гортикола филоперьевая
Эритрея;-;-;Единицы;Сравнительно немного;-;-
Таруса;-;Много;-;-;-;-
Йемен;-;-;-;Сравнительно немного;Немного;-
Елабуга;Много;Очень мало;-;-;Много;Много
Эфиопия;Много;Единицы;-;Сравнительно немного;Единицы;Очень много
Малайзия;-;-;-;Сравнительно немного;Мало;-
Зимбабве;Единицы;-;Очень мало;-;Единицы;Очень мало
Танганьика;Очень много;Много;-;Сравнительно немного;Очень много;Очень мало
Пакистан;Немного;Очень мало;Немного;-;Немного;-
Югославия;Много;-;-;-;-;Много
Шри-Ланка;-;-;-;Много;Мало;-
Бутан;-;-;-;Много;-;-
Сингапур;Сравнительно немного;Много;-;-;Сравнительно немного;Много
Филиппины;Очень много;Единицы;Мало;-;-;Очень мало
Албания;Единицы;-;Очень мало;-;-;-
Курдистан;Много;-;-;-;-;-
Германия;-;-;-;В огромных количествах;Немного;-
Ломбардия;-;Мало;-;-;-;-
Вевелония;Сравнительно немного;Сравнительно немного;Немного;В огромных количествах;Много;Сравнительно немного
Херсонес;Много;-;-;-;Мало;Много
Вайоминг;Немного;-;-;-;-;Немного
Парагвай;-;Очень мало;Единицы;-;-;-
Индия;-;-;Единицы;Сравнительно немного;-;Сравнительно немного
Дания;-;Сравнительно немного;-;-;В огромных количествах;Сравнительно немного
Ямайка;-;-;Сравнительно немного;-;Очень много;Очень мало
Тотьма;-;Очень много;-;-;-;-
Уганда;-;-;Сравнительно немного;Сравнительно немного;-;Много
Прерия;Немного;-;Немного;-;-;Немного
Кения;Много;Единицы;-;В огромных количествах;-;Немного
Танзания;Единицы;-;-;В огромных количествах;-;-
Греция;Немного;-;-;В огромных количествах;Немного;Много
Патагония;Единицы;-;Единицы;-;-;-
Россия;Единицы;-;Мало;Мало;Очень мало;Единицы
Непал;Мало;-;-;Много;-;-
Япония;Единицы;Много;-;Сравнительно немного;Очень много;-
Сибирь;-;-;Мало;-;-;Много
Австралия;-;Сравнительно немного;Немного;Много;-;Единицы
Камчатка;-;-;-;Мало;-;Единицы
Ливан;В огромных количествах;Немного;-;-;-;В огромных количествах